date,municipality_id,usage
2017-06-04 07:00:00,0,204
2017-06-04 07:00:00,1,129
2017-06-04 07:00:00,2,273
2017-06-04 07:00:00,3,623
2017-06-04 07:00:00,4,1090
2017-06-04 07:00:00,5,70
2017-06-04 07:00:00,6,597
2017-06-04 07:00:00,7,718
2017-06-04 07:00:00,8,556
2017-06-04 07:00:00,9,454
2017-06-04 08:00:00,0,332
2017-06-04 08:00:00,1,164
2017-06-04 08:00:00,2,355
2017-06-04 08:00:00,3,967
2017-06-04 08:00:00,4,2016
2017-06-04 08:00:00,5,89
2017-06-04 08:00:00,6,801
2017-06-04 08:00:00,7,873
2017-06-04 08:00:00,8,857
2017-06-04 08:00:00,9,527
2017-06-04 09:00:00,0,485
2017-06-04 09:00:00,1,245
2017-06-04 09:00:00,2,494
2017-06-04 09:00:00,3,1263
2017-06-04 09:00:00,4,2811
2017-06-04 09:00:00,5,159
2017-06-04 09:00:00,6,1061
2017-06-04 09:00:00,7,1151
2017-06-04 09:00:00,8,1172
2017-06-04 09:00:00,9,666
2017-06-04 10:00:00,0,583
2017-06-04 10:00:00,1,317
2017-06-04 10:00:00,2,582
2017-06-04 10:00:00,3,1396
2017-06-04 10:00:00,4,3178
2017-06-04 10:00:00,5,228
2017-06-04 10:00:00,6,1219
2017-06-04 10:00:00,7,1373
2017-06-04 10:00:00,8,1363
2017-06-04 10:00:00,9,800
2017-06-04 11:00:00,0,614
2017-06-04 11:00:00,1,341
2017-06-04 11:00:00,2,643
2017-06-04 11:00:00,3,1456
2017-06-04 11:00:00,4,3257
2017-06-04 11:00:00,5,268
2017-06-04 11:00:00,6,1297
2017-06-04 11:00:00,7,1479
2017-06-04 11:00:00,8,1399
2017-06-04 11:00:00,9,845
2017-06-04 12:00:00,0,613
2017-06-04 12:00:00,1,343
2017-06-04 12:00:00,2,657
2017-06-04 12:00:00,3,1469
2017-06-04 12:00:00,4,3260
2017-06-04 12:00:00,5,275
2017-06-04 12:00:00,6,1306
2017-06-04 12:00:00,7,1493
2017-06-04 12:00:00,8,1406
2017-06-04 12:00:00,9,845
2017-06-04 13:00:00,0,605
2017-06-04 13:00:00,1,342
2017-06-04 13:00:00,2,660
2017-06-04 13:00:00,3,1457
2017-06-04 13:00:00,4,3241
2017-06-04 13:00:00,5,278
2017-06-04 13:00:00,6,1297
2017-06-04 13:00:00,7,1470
2017-06-04 13:00:00,8,1376
2017-06-04 13:00:00,9,820
2017-06-04 14:00:00,0,585
2017-06-04 14:00:00,1,341
2017-06-04 14:00:00,2,646
2017-06-04 14:00:00,3,1439
2017-06-04 14:00:00,4,3154
2017-06-04 14:00:00,5,247
2017-06-04 14:00:00,6,1271
2017-06-04 14:00:00,7,1461
2017-06-04 14:00:00,8,1361
2017-06-04 14:00:00,9,824
